GeometryCode,LegendLabelOrder,Max of Year,First Location,First Period,First Tooltip,First LANGUAGE_CODE,First LinkToBasemapVectoTileService,First LinkToEnvelopeFeatureService,First LinkToCentroidFeatureService,First LinkToVectorTileService,First DisputedBorderLayer,First DisputedAreaLayer,First LinkToDisputedVectorTileService,First FactValueForMeasure,First ValueType,First LegendColorForText,First LegendLabelText,First LegendMinHex,First LegendMaxHex
HND,,2017,Honduras,2017,6.4,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,6.43,numeric,,,#d5f8ff,#002D5F
HRV,,2017,Croatia,2017,55.4,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,55.4,numeric,,,#d5f8ff,#002D5F
HTI,,2013,Haiti,2013,7.1,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,7.07,numeric,,,#d5f8ff,#002D5F
HUN,,2018,Hungary,2018,70.1,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,70.1,numeric,,,#d5f8ff,#002D5F
IDN,,2017,Indonesia,2017,10.4,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,10.4,numeric,,,#d5f8ff,#002D5F
IND,,2017,India,2017,5.3,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,5.3,numeric,,,#d5f8ff,#002D5F
IRL,,2018,Ireland,2018,29.7,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,29.7,numeric,,,#d5f8ff,#002D5F
IRN,,2017,Iran (Islamic Republic of),2017,15.6,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,15.6,numeric,,,#d5f8ff,#002D5F
IRQ,,2017,Iraq,2017,13.2,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,13.2,numeric,,,#d5f8ff,#002D5F
ISL,,2019,Iceland,2019,28.3,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,28.3,numeric,,,#d5f8ff,#002D5F
