GeometryCode,LegendLabelOrder,Max of Year,First Location,First Period,First Tooltip,First LANGUAGE_CODE,First LinkToBasemapVectoTileService,First LinkToEnvelopeFeatureService,First LinkToCentroidFeatureService,First LinkToVectorTileService,First DisputedBorderLayer,First DisputedAreaLayer,First LinkToDisputedVectorTileService,First FactValueForMeasure,First ValueType,First LegendColorForText,First LegendLabelText,First LegendMinHex,First LegendMaxHex
KOR,,2018,Republic of Korea,2018,124.3,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,124.3,numeric,,,#d5f8ff,#002D5F
KWT,,2017,Kuwait,2017,20.4,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,20.4,numeric,,,#d5f8ff,#002D5F
LAO,,2012,Lao People's Democratic Republic,2012,15,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,15,numeric,,,#d5f8ff,#002D5F
LBN,,2017,Lebanon,2017,27.3,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,27.3,numeric,,,#d5f8ff,#002D5F
LBR,,2010,Liberia,2010,8,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,8,numeric,,,#d5f8ff,#002D5F
LBY,,2017,Libya,2017,32,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,32,numeric,,,#d5f8ff,#002D5F
LCA,,2017,Saint Lucia,2017,13,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,12.97,numeric,,,#d5f8ff,#002D5F
LKA,,2017,Sri Lanka,2017,41.5,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,41.5,numeric,,,#d5f8ff,#002D5F
LSO,,2006,Lesotho,2006,13,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,13,numeric,,,#d5f8ff,#002D5F
LTU,,2018,Lithuania,2018,64.3,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,64.3,numeric,,,#d5f8ff,#002D5F
LUX,,2019,Luxembourg,2019,42.6,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,42.6,numeric,,,#d5f8ff,#002D5F
LVA,,2018,Latvia,2018,54.9,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,54.9,numeric,,,#d5f8ff,#002D5F
MAR,,2017,Morocco,2017,10,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,10,numeric,,,#d5f8ff,#002D5F
MDA,,2014,Republic of Moldova,2014,56.6,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,56.61,numeric,,,#d5f8ff,#002D5F
MDG,,2010,Madagascar,2010,2,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,2,numeric,,,#d5f8ff,#002D5F
MDV,,2009,Maldives,2009,43,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,43,numeric,,,#d5f8ff,#002D5F
MEX,,2018,Mexico,2018,9.8,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,9.8,numeric,,,#d5f8ff,#002D5F
MKD,,2017,The former Yugoslav Republic of Macedonia,2017,42.8,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,42.8,numeric,,,#d5f8ff,#002D5F
MLI,,2010,Mali,2010,1,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,1,numeric,,,#d5f8ff,#002D5F
MLT,,2017,Malta,2017,44.9,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,44.85,numeric,,,#d5f8ff,#002D5F
MMR,,2017,Myanmar,2017,10.4,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,10.44,numeric,,,#d5f8ff,#002D5F
MNE,,2017,Montenegro,2017,38.6,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,38.61,numeric,,,#d5f8ff,#002D5F
MNG,,2017,Mongolia,2017,80,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,80,numeric,,,#d5f8ff,#002D5F
MOZ,,2011,Mozambique,2011,7,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,7,numeric,,,#d5f8ff,#002D5F
MRT,,2006,Mauritania,2006,4,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,4,numeric,,,#d5f8ff,#002D5F
MUS,,2011,Mauritius,2011,34,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,34,numeric,,,#d5f8ff,#002D5F
MWI,,2011,Malawi,2011,13,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,13,numeric,,,#d5f8ff,#002D5F
MYS,,2017,Malaysia,2017,18.8,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,18.77,numeric,,,#d5f8ff,#002D5F
NAM,,2009,Namibia,2009,27,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,27,numeric,,,#d5f8ff,#002D5F
NER,,2017,Niger,2017,3.9,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,3.9,numeric,,,#d5f8ff,#002D5F
NGA,,2004,Nigeria,2004,5,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,5,numeric,,,#d5f8ff,#002D5F
NIC,,2017,Nicaragua,2017,9.3,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,9.3,numeric,,,#d5f8ff,#002D5F
NLD,,2018,Netherlands,2018,31.7,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,31.7,numeric,,,#d5f8ff,#002D5F
NOR,,2018,Norway,2018,35.3,en,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_no_labels/VectorTileServer,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_BoundingBox/FeatureServer/1,https://services.arcgis.com/5T5nSi527N4F7luB/arcgis/rest/services/WHO_historical_boundaries_Point/FeatureServer/0,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_HistoricalCountries/VectorTileServer,DISPUTED_BORDERS,DISPUTED_AREAS,https://tiles.arcgis.com/tiles/5T5nSi527N4F7luB/arcgis/rest/services/WHO_Polygon_Basemap_Disputed_Areas_and_Borders_VTP/VectorTileServer,35.3,numeric,,,#d5f8ff,#002D5F
